,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
200,200,western illinois,31,70.9,26.4,60.0,818,1860,0.44,577,1234,0.46799999999999997,1.18,0.505,Western Illinois,31,319,10.3,352,11.4,0.91
201,201,southern,32,64.9,23.5,53.4,752,1710,0.44,572,1166,0.491,1.21,0.49200000000000005,Southern,32,372,11.6,510,15.9,0.73
202,202,villanova,34,74.5,24.7,56.2,840,1912,0.439,479,889,0.539,1.32,0.534,Villanova,34,485,14.3,383,11.3,1.27
203,203,uc davis,31,65.7,23.7,54.0,735,1673,0.439,532,1054,0.505,1.22,0.5,UC Davis,31,375,12.1,412,13.3,0.91
204,204,stephen f. austin,30,70.2,24.8,56.5,745,1696,0.439,544,1108,0.491,1.24,0.499,Stephen F. Austin,30,348,11.6,440,14.7,0.79
205,205,norfolk state,34,73.9,25.0,56.9,849,1935,0.439,586,1222,0.48,1.3,0.507,Norfolk State,34,438,12.9,499,14.7,0.88
206,206,seattle,32,73.5,25.8,58.9,827,1885,0.439,595,1261,0.47200000000000003,1.25,0.5,Seattle,32,372,11.6,390,12.2,0.95
207,207,bethune-cookman,31,73.9,26.9,61.3,833,1899,0.439,629,1264,0.498,1.21,0.49200000000000005,Bethune-Cookman,31,444,14.3,501,16.2,0.89
208,208,temple,32,74.8,26.4,60.2,845,1927,0.439,605,1201,0.504,1.24,0.501,Temple,32,463,14.5,356,11.1,1.3
209,209,florida a&m,31,62.2,23.2,52.9,719,1640,0.43799999999999994,539,1151,0.46799999999999997,1.18,0.493,Florida A&M,31,355,11.5,498,16.1,0.71
210,210,denver,30,69.5,25.2,57.4,755,1723,0.43799999999999994,528,1101,0.48,1.21,0.504,Denver,30,354,11.8,408,13.6,0.87
211,211,prairie view a&m,34,75.0,25.7,58.7,875,1997,0.43799999999999994,665,1322,0.503,1.28,0.491,Prairie View A&M,34,428,12.6,433,12.7,0.99
212,212,south dakota,30,70.6,24.3,55.5,729,1664,0.43799999999999994,502,998,0.503,1.27,0.506,South Dakota,30,382,12.7,324,10.8,1.18
213,213,texas a&m,32,70.4,25.2,57.6,806,1843,0.43700000000000006,602,1180,0.51,1.22,0.493,Texas A&M,32,376,11.8,444,13.9,0.85
214,214,liu brooklyn,32,74.2,25.7,58.8,822,1880,0.43700000000000006,545,1067,0.511,1.26,0.511,LIU Brooklyn,32,430,13.4,471,14.7,0.91
215,215,st. francis (pa),32,76.4,26.9,61.6,861,1970,0.43700000000000006,616,1270,0.485,1.24,0.499,St. Francis (PA),32,402,12.6,392,12.3,1.03
216,216,minnesota,34,70.8,24.7,56.5,840,1922,0.43700000000000006,662,1368,0.484,1.25,0.483,Minnesota,34,506,14.9,408,12.0,1.24
217,217,ohio state,33,69.6,24.2,55.3,797,1824,0.43700000000000006,548,1099,0.499,1.26,0.505,Ohio State,33,470,14.2,414,12.5,1.14
218,218,ohio,31,70.1,25.9,59.3,803,1838,0.43700000000000006,616,1205,0.511,1.18,0.488,Ohio,31,450,14.5,447,14.4,1.01
219,219,wright state,34,73.3,25.3,57.9,860,1969,0.43700000000000006,589,1176,0.501,1.27,0.506,Wright State,34,477,14.0,393,11.6,1.21
220,220,cornell,30,68.7,24.0,54.9,719,1647,0.43700000000000006,486,940,0.517,1.25,0.507,Cornell,30,431,14.4,393,13.1,1.1
221,221,elon,32,70.8,25.4,58.2,812,1862,0.436,477,919,0.519,1.22,0.526,Elon,32,468,14.6,414,12.9,1.13
222,222,louisiana tech,33,72.3,25.5,58.4,840,1928,0.436,587,1172,0.501,1.24,0.501,Louisiana Tech,33,440,13.3,385,11.7,1.14
223,223,cleveland state,31,74.2,25.8,59.2,799,1834,0.436,496,1014,0.489,1.25,0.518,Cleveland State,31,460,14.8,411,13.3,1.12
224,224,san diego state,34,71.7,24.9,57.1,845,1940,0.436,584,1219,0.479,1.26,0.503,San Diego State,34,487,14.3,424,12.5,1.15
225,225,towson,32,67.8,25.3,58.1,810,1860,0.435,630,1310,0.48100000000000004,1.17,0.484,Towson,32,319,10.0,390,12.2,0.82
226,226,canisius,32,70.3,24.9,57.3,798,1834,0.435,542,1043,0.52,1.23,0.505,Canisius,32,466,14.6,412,12.9,1.13
227,227,north texas,33,69.8,25.2,57.9,831,1910,0.435,547,1072,0.51,1.21,0.509,North Texas,33,428,13.0,443,13.4,0.97
