,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj
157,California Baptist,30,78.3,27.2,60.4,816,1812,.450,536,1034,.518,1.30,.528
158,McNeese,30,68.6,24.2,53.7,725,1610,.450,565,1084,.521,1.28,.500
159,Valparaiso,33,66.8,24.3,54.0,802,1783,.450,617,1198,.515,1.24,.502
162,Presbyterian,32,78.6,26.9,59.8,860,1912,.450,513,1000,.513,1.31,.541
163,Coastal Carolina,31,76.3,25.7,57.2,797,1772,.450,548,1092,.502,1.33,.520
164,Bucknell,33,76.8,26.3,58.4,867,1928,.450,556,1043,.533,1.31,.530
165,Troy,30,72.6,25.8,57.3,773,1719,.450,537,1015,.529,1.27,.518
166,Texas Southern,34,80.0,27.7,61.6,942,2095,.450,694,1324,.524,1.30,.509
167,Oregon,35,70.5,25.3,56.3,886,1971,.450,620,1196,.518,1.25,.517
168,Auburn,34,79.4,27.4,60.9,930,2071,.449,549,1059,.518,1.30,.541
169,Lafayette,30,73.6,26.7,59.5,802,1786,.449,522,1050,.497,1.24,.527
170,Eastern Michigan,32,68.8,25.6,57.0,818,1823,.449,631,1189,.531,1.21,.500
171,Marist,31,67.3,23.8,53.1,739,1647,.449,494,972,.508,1.27,.523
174,Houston,33,76.2,26.8,59.6,883,1968,.449,578,1130,.512,1.28,.526
175,Grambling,33,71.3,24.3,54.3,803,1791,.448,587,1250,.470,1.31,.509
176,Davidson,33,70.5,24.9,55.6,822,1834,.448,522,978,.534,1.27,.530
177,Tulsa,32,71.8,24.3,54.1,776,1732,.448,554,1080,.513,1.33,.512
178,North Florida,33,75.3,27.3,61.0,902,2014,.448,594,1117,.532,1.23,.524
179,Sacramento State,31,70.9,26.0,58.1,806,1800,.448,631,1273,.496,1.22,.496
180,Washington State,32,74.8,26.0,58.2,833,1861,.448,532,1033,.515,1.29,.528
181,Rider,31,76.8,27.3,61.1,847,1893,.447,625,1242,.503,1.26,.506
182,Arizona State,32,77.8,26.6,59.5,851,1903,.447,619,1223,.506,1.31,.508
183,Idaho State,30,73.3,26.0,58.1,779,1742,.447,505,990,.510,1.26,.526
184,The Citadel,30,85.1,30.0,67.0,899,2011,.447,529,935,.566,1.27,.539
185,Arkansas,32,75.5,26.4,59.1,845,1892,.447,604,1188,.508,1.28,.510
186,Western Kentucky,34,71.4,25.1,56.2,853,1910,.447,654,1302,.502,1.27,.499
187,Purdue,32,76.2,26.8,60.0,857,1920,.446,546,1066,.512,1.27,.527
188,UConn,33,73.8,26.5,59.4,874,1959,.446,622,1227,.507,1.24,.510
189,UT Martin,31,76.0,27.5,61.8,854,1915,.446,604,1189,.508,1.23,.511
190,New Orleans,32,71.7,25.9,58.1,829,1859,.446,647,1326,.488,1.23,.495
191,NJIT,33,70.0,24.0,53.9,792,1778,.445,563,1114,.505,1.30,.510
192,Louisiana,32,81.6,28.2,63.2,901,2023,.445,618,1203,.514,1.29,.515
193,Oklahoma,32,71.2,25.9,58.3,830,1864,.445,618,1245,.496,1.22,.502
196,Butler,32,71.8,26.1,58.7,835,1877,.445,555,1078,.515,1.22,.519
197,George Mason,33,70.1,25.0,56.2,825,1855,.445,615,1218,.505,1.25,.501
198,Santa Clara,31,68.2,23.7,53.3,735,1653,.445,496,990,.501,1.28,.517
199,Georgetown,32,79.9,27.2,61.1,869,1955,.445,605,1219,.496,1.31,.512
200,Texas State,33,72.4,25.6,57.7,846,1905,.444,608,1182,.514,1.25,.507
201,Southern Utah,32,75.8,26.2,59.0,838,1887,.444,578,1135,.509,1.29,.513
202,High Point,31,68.2,24.6,55.5,763,1719,.444,583,1136,.513,1.23,.496
203,Pepperdine,34,75.6,25.4,57.3,865,1949,.444,552,1130,.488,1.32,.524
204,UC Riverside,33,65.2,24.0,54.2,792,1787,.443,513,1044,.491,1.20,.521
205,UNC Wilmington,33,76.2,26.7,60.2,880,1986,.443,620,1242,.499,1.27,.509
208,Florida State,34,74.9,25.9,58.4,879,1984,.443,624,1224,.510,1.28,.507
209,Chattanooga,32,70.9,26.0,58.8,833,1881,.443,543,1086,.500,1.21,.520
